representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
random_matrisome_programs_r5,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8908072319837025,0.00600967659791192,0.8446112117979473,0.006097266862992962,0.8520527565036051,0.0059335226988473135,0.8893708245770892,0.006013803091004318
random_matrisome_programs_r10,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.858314234784823,0.00311711611878774,0.8284136673210274,0.007626455023739973,0.8299178509672105,0.004618507190445919,0.8579927047124762,0.0031654168107651294
random_matrisome_programs_r4,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8746625923096512,0.0037955265360604374,0.8215372559110143,0.007108578173451365,0.8194058884937252,0.00661971896993675,0.8715420870886266,0.0036621262017516817
random_matrisome_programs_r8,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8698752228163993,0.005146144366312858,0.817807393426594,0.00526904548261781,0.8215181350816005,0.00710280664392769,0.8683503683859776,0.004850701001928599
random_matrisome_programs_r9,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8710975299210594,0.00299749202333835,0.8177926716784307,0.006533603870503974,0.8200547693414244,0.004860783754409046,0.8679065714470445,0.0025342625217524254
random_matrisome_programs_r1,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8786860198624904,0.004918320205961933,0.8138646928570411,0.006288626942681643,0.821381212456829,0.006578454203065895,0.8758790898410587,0.005305951106077503
random_matrisome_programs_r3,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.861319073083779,0.005089379958382231,0.8108154142703254,0.006754731045856158,0.8202901089217853,0.005496983963419125,0.8587672213225677,0.005112193410089436
random_matrisome_programs_r7,random_matrisome,gene_set_scores,extra_trees,tissue,5,9.0,0.8617774382480266,0.0032105765240589513,0.8009332674373526,0.008882532271577585,0.8045805296142134,0.005921476745804222,0.8600866699007369,0.0034461958296978412
random_non_ecm_programs_r8,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.649554367201426,0.007230190189238647,0.5990328355574066,0.0024206517577921222,0.5841201974597114,0.003998335570489304,0.6434137037129735,0.006622031074803695
random_non_ecm_programs_r4,random_non_ecm,gene_set_scores,extra_trees,tissue,5,9.0,0.7000254647313471,0.00591966007478288,0.5971401026817059,0.010071309583873854,0.5926910228643834,0.013075338896736354,0.6931232256792272,0.005781232838641061
