source,destination,status,size_mb,sha256,reason
E:\Projects\ECM\ecm_latent_space\src\summarize_matrisomedb_validation.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\summarize_matrisomedb_validation.py,copied,0.0167,63c73e892a45dd715f2a2944a174b30064ea42f1da6c4b8927094466ab06ab99,
E:\Projects\ECM\ecm_latent_space\src\build_final_results_package_v0_2.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\build_final_results_package_v0_2.py,copied,0.011,9a4412eb3137f8f50be4b337241b705e104aa738c970e62d88904b42dc754a9b,
E:\Projects\ECM\ecm_latent_space\src\inspect_gtex_v11_files.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\inspect_gtex_v11_files.py,copied,0.0026,d72efecdf949f376aa367e6acca99c9a0b788986253ab37cd5b7bfe24cd962df,
E:\Projects\ECM\ecm_latent_space\src\build_gtex_v11_sample_level_ecm_programs.py,E:\Projects\ECM\ecm-program-atlas\pipelines\07_run_gtex_v11_validation.py,copied,0.0187,f90556625f5ae966e8599da57248beaefdf51d6d787cd6737a15e9767a63833c,
E:\Projects\ECM\ecm_latent_space\src\analyze_gtex_v11_sample_level_ecm_programs.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\analyze_gtex_v11_sample_level_ecm_programs.py,copied,0.0168,43623e1b901cf0a99bfff2c96226cddd1385fe42e8b942d33dc7d54bc22c41aa,
E:\Projects\ECM\ecm_latent_space\src\classify_gtex_v11_tissues_from_ecm_programs.py,E:\Projects\ECM\ecm-program-atlas\pipelines\08_run_gtex_classifier_benchmarks.py,copied,0.0156,4bef05a708e0d3ad1066f5568ca133485afefe50bfe3657c70d3d1d751203e4b,
E:\Projects\ECM\ecm_latent_space\src\benchmark_gtex_v11_ecm_classifiers.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\benchmark_gtex_v11_ecm_classifiers.py,copied,0.0169,2af1df3817c1fd828c3fa10701c22a91b16e7963cb9975e11f66cd41876919e6,
E:\Projects\ECM\ecm_latent_space\src\benchmark_gtex_v11_deep_tabular_models.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\benchmark_gtex_v11_deep_tabular_models.py,copied,0.0285,4a9bc19055da17f835348403413d00b2dcf6b651b9fcd7fa1ab71895e9915688,
E:\Projects\ECM\ecm_latent_space\src\build_final_results_package_v0_4.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\build_final_results_package_v0_4.py,copied,0.018,9489827ac10d7f4cb31c5e5acfb732c556ec5e5dbea34f630002c87bcb789cd0,
E:\Projects\ECM\ecm_latent_space\src\inspect_tabula_sapiens_h5ad.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\inspect_tabula_sapiens_h5ad.py,copied,0.0037,30cd463596fa470778f1249840b2cde794177c75c5536abdfe7249adabb88d0c,
