feature_set,recommended_k,rank_selection_score,mean_normalized_reconstruction_error,mean_top_gene_jaccard_stability,consensus_cophenetic,mean_recovery_fraction,mean_recovered_programs_per_seed
all_matrisome,20,0.9126486601749851,0.24104099182416486,0.8040530088439156,0.8988304542757188,0.9666666666666667,8.7
collagens,20,0.9363078947560773,0.12188948174907374,0.9734013493683767,0.9992152275055989,0.777777777777778,7.0
core_matrisome,18,0.9057464274523219,0.22094837488983704,0.7836960095450435,0.9593985595062849,1.0,9.0
ecm_glycoproteins,18,0.9420712497177196,0.217648214942057,0.8890162588915262,0.9815409346524896,1.0,9.0
proteoglycans,20,0.9444444444444445,0.11064370759023066,1.0,1.0,0.777777777777778,7.0
